,blog
0,  
1,"Sleep was terrible. Major chest pain (ribs) and my rice n' lamb did not seem happy in me gut. Fallout from the accident? Finally fell asleep and woke up fine. It is almost noon and no news from my bike yet so I will likely be in Gisborne until tomorrow. Hopefully my bike will be fixed today cos I dont think the shops are open tomorrow and Northerlies are expected to be picking-up by tuesday - I plan on a 2 to 3 days to go North to Opotiki and fish on the way. I'll see how the cookie crumbles. Got me an orange safety vest this morning. Probably one of the best 20$ I'll have spent during this trip. Better than the red wine 2 days ago! ;) Also on the shopping list is groceries for 3 days... rice, pasta, peanut butter, bread... the ol' basic taka. Well thats it, another forced day off, but the weather is beautiful and Gisbourne is a nice place. I'll go for a soda on the beach. Cheers, Rene This just in... my bike will only be ready on Tuesday (today is Saturday). I will take a bus to Napier tomorrow and visit the Art Deco City for a day. Hopefully I'll be on the road not too late on Tuesday and make it over the the Waioeka river (about 100Km with a 700 - some meters climb). Oh well, thats the way it goes...     "
2,"The bus ride was an interesting experience. We were about 8 passengers in a big coach bus and the driver/surfer entertained us along the way pointing-out historic sites and landscapes. He also explained for 10 minutes what the buttons over our heads were for (lights, emergency....) and to go over and see him if the air conditionning was too cool, so he could heat it up, or if the air conditionning was too hot so he could cool it down. Go see him if the the music was too loud so he could turn it down or if the music was too soft so he could turn it up. And if ... Went for a guided walk of different art-deco buildings in the City. Long story short, in 1931 a 7.9 earhquake (on the Richter scale) (which is quite a big earthquake) and following fires destroyed a good part of the city. It was rebuilt with the 'in' architecture style of the moment: Art Deco. Since it was during the depression, the ornaments are not all that sophisticated (to me) but the city does have a special feel to it - and a definite unique touch: Maori patterns in the ornaments. Looked at maps for planning my next few days and pasage to the South Island. I'll likely bike to Opotiki from Gisborne (and fish the Waioeka) a few days. Take a bus to Rotorua (I've already biked half of the road to Rotorua on my way to the East Cape and there is something about biking the same road twice that bugs me) and do the Rotorua thing (Rotorua is a tourist must, rich with Maori culture - and fishing), bus down to Wellington, cross to Picton on the South Island (hopefully the seas wont be too rough...) and bike down to Christchurch. This itinerary would allow me to re-start my North Island tour in Taupo (late November), towards Taranaki, Waimoto, Te Awamutu (wonder why...) and (sadly) Auckland. I dont know what my tour of the South Island will look like after I make it to Christchurch. I will take a few days off with my cousin. I'll get him to brief me and work-out an itinerary - hein Bruno! By the way Bruno, I wont be able to make it for the 27th... maybe around Nov 1st. I tried but out-of-my-control events conspired to slow me down. And yes, Bonne fete Claudia! The song that I have giong in my cerebral juke box is a Steve Miller Band song, the one that goes ... 'I want to fly like an eagle' Time for some dinner. Cheers, Rene               "
3,"If ever in Napier, you have to check-out the Art-Deco (bien sur), but also go for a walk in 'The Bluffs'. Many nice houses, paths, parks, views. For the daring, dont do with a map ;) I had a map and by the time I made it out it was time to get back on the bus to Gisborne at 1:00 PM. If you bike the road from Napier to Gisborne, you are in for some serious hills, fascinating river gorges and narrow, winding roads. The mountains of NZ so far are mostly treeless - either clearcut or grazed by sheep and cattle. If there are trees chances are that the're a 'plantation' of the same kind of pine tree every time. Lots of erosion. Back in Gisborne I went grocery shopping for dinner and for whatever was missing for spending 2 days alone and if I did not catch dinner in the river. And if my bike is ready to go not too late tomorrow. Made my now famous (with myself) sauteed beef with veggies and pasta - but with cheese this time! Aint this exciting! I make me laugh. And red wine too - from Australia 2001 Shiraz, Jacobs creek. Red=Australia. White=NZ. not that Oz dont make good whites, but I have to give NZ wines a chance. Coming back from the supermarket, I had the bottle of wine on the outside of my daypack. A kid, maybe 13 years old came up to me and said something to me. I asked him what he had said. 'Keea-Oora!' with a not too distinguised tone of voice. 'Cheers' I replied. 'Is that wine for me or for you?' he said firmly. What the he.. are you talking about? I thought. Is this a threat? If there were 5 of you would you be taxing me? With nothing better to say I answered 'You wish?!' and walked my merry way away. If he had been 5 years older, that would have been a threat. After dinner had a good look at the waves on the beach. They roll a long time and form long white lines in the dark. Beauty. If no journal updates over the next few days, that means the bike is back and I'm gone fishin'. 'La Jasette' by Kevin Parent is today's song. Had it in mind while eating dinner. Cheers, Rene               "
4,"Around 12:30 Christine arrives, bikeless. Her first words were: 'Not good news'. I had to smile. The brake/shifter lever jammed - had to order a new one, will be in tomorrow. Now lets all sing the Gisborne Jinx! She told me she was getting a tune-up done as well. She is very nice through all this. Happens that her husband bikes quite a bit and their friend, Norm, runs a small bike shop for friends. I was planning on making it to Matawai, about 70 Km out of Gisborne, elevation 540 meters. That would have left some 10 Km uphill (to 725m) to the other side of the gorge for the next day. But instead I will re-pitch my tent in a familiar campground. Oh well. Christine offered to take me to Matawai tomorrow. If the offer still stands tomorrow I will take it. So wat did I do with my afternoon? Walked up and arounf Kaiti hill and all the Cook-related stuff (Cook made his first landing here). There is a statue to commemorate Cook, but it aint Cook. Ya gotta pretend its Cook. Funny. Bought some fresh Moki fish on my way back. Tonite is the Italy-Canada rugby game. Should be interesting, the All balcks beat the Italians with a similar score as the Canadians. Had some vegetarian chardonnay with supper along with the moki and garlic smoked mussels. Hope the legs did not lose too much strength over the 4-day break (Almost 5-day break). So If all goes well I'll have my flyline out tomorrow. Time to check the fishing equipment, make sure all is in order. Todays song, in honor of whoever is not Cook - Lets Pretend by the Northern Pikes.     "
5,"During the night I rolled to my belly/chest for a few seconds, trying to find a position to rest in for a few seconds. Something in my right ribs popped. It was sore from there on, nothing serious, but sore. Spent the day drinking salted and diluted orange juice. Chicken-noodle soup for dinner with bread. Hope that stays in. My chest realy hurts when I get up. This is a tough trip. Nothing stolen yet ... touch some wood. Rented a 'tourist flat' in the capground with a bed, shower, toilet... luxury! I may need to have the toilet nearby during the night... The Sun has set and I am very tired. Morale is low - hope it picks up as I recover from food poisoning. My bike is ready. Went to pick it up with Christine at Norm's place. He is passionate about bikes and I'm sure he did an excellent job. Merci! I am very tired. Song of the day? 'Anything is good for you' (if it doesn't kill you) by Crowded House."
6,"9:00 Christine picked me up in their pick-up truck and we were off to Matawai. She has been very kind. The radio played 'Thorn in my side' by Eurythmics. How appropriate... 'To run away from you was all that I could do'... thinking of Gisborne. Well there I was in Matawai with some 200 meters to climb - a reminder for the legs that the trip aint over. The climb was very painful. Not much food the 36 hours before, the poisoning, the ribs, the 5-day cycling break... but I made it. On the other side the scenery of the gorge is beautiful and spectacular. Stopped to fish 3 times, no luck but a rainbow trout did a salute (spectacular jump out of water) in the first hole. That was nice. The weather has been shifty but generally good. Hard to concentrate on the road with such a nice river next to it. I am seriously thinking about my priorities and waht I want to do with my trip. The delayt of almost one week and my guts remind me that I have to make decisions. I know I have to rest. Tomorrow Opotiki and Saturday Rotorua? We'll see. Big week-end - Labor Day on Monday.     "
7,"Ate 2 home made steak and cheese pies with ginger beer for lunch - my first real meal in 2 days! Okay, so to improve this trip, Item No 2:Make Christchurch a second start. Rest, rebuild the legs, and enjoy it. No3: This has to be fun. Narrow winding roads with trucks are not all that fun, no matter how beautiful the scenery. This may mean less biking - and no guilt if it is so (gotta remind me of that). We'll see. It is a beautiful day outside. I'll go and enjoy it (it is 3:20 pm). I also saw a doctor for my ribs. Likely soft tissue damage - not too serious. Good. Tomorrow the bus departs at 10:15 for Rotorua. Dire Straits 'Tunnel of Love' - I think thats the name of the song. Rene             "
8,"I did rest today and it felt good. I even dared having some ice cream. Yes! The weather is cloudy, windy and cold - good for resting.  Note: When the All Blacks score a try, the tune to play in the stadium is Something so Strong by Crowded House. Anxious to eat normally again. Appetite is back - thats good. There is a 'Grosse Pointe Blank' (the movie) ambiance in Opotiki this week-end - its the college reunion, 50 years. It was nice to see. Health is picking-up and so will the spirits. Its been a tough digestive/mental issue, especially with it coming right after I finally got may bike back after the accident. Thanx to family, friends and readers for support... and yes, I will enjoy the trip!
"
9,"It was quite strange to take the bus back to Whakatane and Ohope. I have already biked it and it was flooded then. Too bad we went by so fast, could have taken 'before' and 'after' pictures. There were wee sandbanks here and there in the fields following the flood. From Whakatane to Rotorua was a very nice road. Nice scenery (bush-covered hills, valleys, lakes...), good shoulder most of the way (with its narrow parts).  There was a big market in Rotorua where you could buy anything from couterfit CDs to circular sawbalde-clocks, soap and so on. thats where I thought of asking as a joke ' Where could I get a boomerang?' Never take a kiwi for an aussie. I dont think one would be very offended and take it as a joke, but still... Kinda like canadians and 'americans'. I have not yet slugged someone for sugesting I was a yank ;) Things are picking-up. I had my first real full meal in a few days tonite in a Chinese rice/noodle place. Just what I needed - with nice jasmine tea. Happiness is a cup of jasmine tea, friends and a healthy gut. Beauty. Spent the evening  wandering in the awsome gardens of Rotorua. Really, really unique and beautiful, with thermal vents scattered here and there, steaming pools - some a few square meters, some as big as an olympic pool. And bushes bloming, hot footbaths here and there. Beauty. Tomorrow I'll go fishing.  Quand l'appetit va tout va! Oh, and to finish the day, watched rugby on the telly with Andrew from Wales. We had a good time, good talk. Another chap from the English Isles on a honeymoon touring NZ in a van. He works with kids with all sorts of problems. A surfer, a carpenter, a Good man.     "
