,blog
0,"   After my nap I had 8 more miles into New Meadow. On the way to New Meadows, I crossed the 45th parallel again. The first time I crossed the 45th parallel was just past Quake Lake heading north on Highway 287 towards Cameron, Montana. This was the second time I had crossed it, and I would cross it once more on the Oregon coast before my trip came to an end. I stopped for lunch in New Meadows at an awesome BBQ restaurant and enjoyed my lunch on their outdoor porch. There was another 7-mile climb out of New Meadows to Tamarack then downhill all the way to Council. Just before I got to Council I caught up with Nick, another cross-country cyclist. I had first met Nick in Walden, Colorado, when I was still riding with the KIWIs. Nick had started his ride 4/30 in Yorktown, Virginia, and on 7/7 he had just arrived in Walden after a two-week break from riding. He had lived in Colorado before his ride began and was an ASIC designer with HP. We rode together as a part of a larger group on 7/8, but the KIWIs and I split off from the group to do some extra miles that day. We decided we were both heading into Cambridge for the night so we would meet up later and get some dinner together.   I had heard reference that Cambridge was the gateway to the Snake River Canyon and I had images in my mind of a small bustling town. Well, I was dead wrong. This was no bustling town. Nick and I found that there were two restaurants in town. One that closed at 7pm and the other that delivered prepared but uncooked pizza. Well, it was after 7pm and the uncooked pizza would have been hard to cook on our camp stoves so we headed for the only other open establishment in town the bar. The bar served Tombstone pizza and  well  drinks which you would expect in a bar. We had a bear for an appetizer, another bear for our first course, then we each had a Tombstone Pizza followed by more drinks for desert.  We decided to hang around the bar for a while with the locals since it was Saturday night. This was the only drive in bar that I had seen on the trip as several locals came in and ordered carryout drinks to enjoy while they worked the hay harvest that night!
"
1,"    Once again I had gone from the higher elevation in Idaho with pine trees to a very arid desert environment in the Snake River Canyon. The arid surroundings are quite a contrast to the blue water of the Brownlee Reservoir in the Snake River Canyon. It was a nice long downhill to the lake level and then pretty flat as we rode along the banks of the Brownlee Reservoir to the dam.     We crossed the Snake River just below the Brownlee Dam and continued to ride along the Snake on the Oregon side of the river. When we crossed the Snake, not only did we cross from Idaho into Oregon but we also crossed into the Pacific Time Zone. The blackberries and wild plums were thick along the river and we stopped several times to load our pockets with fruit to snack on along the way. This helped as the day was pretty hot and other than the plants along the river the area was pretty barren.      We climbed out of the Snake River Canyon near the Oxbow Dam and had lunch in Pine Creek. Nick had a mail shipment to pickup on Monday in Halfway so we stopped there for the night. Halfway, Oregon, is a town that changed its name to Half.com so that it could be the first Internet city! There was quite a difference between the small towns of Halfway, Oregon, and Cambridge, Idaho. Halfway apparently has a lot of hunting business in the fall and winter. It appears the town has come upon better times recently as the Bed & Breakfast in town was listed in the Adventure Cycling literature as having a bunkhouse. Both Nick and I were looking forward to the bunkhouse as they are usually a close relative of hostels with individual bunks and shared bathrooms. When we called the Bed & Breakfast to inquire on the price of a night in the bunkhouse, we were told that the bunkhouse is now a suite in the B&B that goes for $180 per night. We were expecting to pay for the ability to sleep in a bed instead of our tents, but we were both thinking on the order of $10-$15 apiece so we opted for our tents at the Halfway Motel & RV park!  The owner of the motel had lots of hunting stories as we chatted with him on the front porch of his house after a nice dinner in town. He said Oregon had implemented a ban on hunting mountain lions with dogs and that the mountain lion population was now out of control as they have several mountain lions visit the town during the winter. The deer population is also way down, as you would expect, with an over population of mountain lions! They had many pictures in the lobby of the motel that showed the fruits of many a hunt: deer, elk, bear, and mountain lion.
"
2,"   We had a nice downhill into Richland then we turned west towards Baker City and were in for a long ride as the rest of the 51-mile day was up hill with a strong headwind. Nick and I never got into drafting and about 8 miles out of town I was feeling pretty good and started to pull away. That was the last time I saw Nick. Highway 86 follows the Powder River as it winds up towards Baker City. The Powder River cuts a pretty deep valley and the entire day the wind was shooting down this valley like the whitewater in the river!     A couple of miles east of Baker City at Flagstaff Hill Summit there is an Oregon Trail Interpretive Center.  I had read a lot about it, and it sounded very interesting so I was planning to stop and take the tour until I got there. I had just ridden 45 miles up hill and into the wind and was ready for the riding day to be over. I was almost to the top of Flagstaff Hill Summit and could see a large building on top of a hill just off the main road. As I got closer I could see wagons drawn in a circle on top of the hill. I then realized that this was the interpretive center that was located just north of the highway at the top of a hill. This was a pretty high hill that appeared to be at least 1,000 feet higher than the road on which I was traveling. I decided at that point to not go to the interpretive center and to head in to Baker City to have lunch and visit their library to send out an updated email.  I headed into town and ate lunch at the first restaurant I could find while I kept my eyes open for Nick. Nick never appeared so I headed to the library and then checked into the Oregon Trail Motel and had a good swim and good night's sleep.
"
3,"After I rode over Sumpter Pass, I saw the first signs of the Oregon wild fires that were burning in eastern Oregon. The smoke was coming over the next set of hills to the south. Just after I got over this first pass, I met the last cross-country eastbound cyclists that I saw during my trip. They were stopped roadside enjoying a snack and had just started 10 days prior in Astoria and were headed to Yorktown, Virginia. It was interesting to talk to them as they still had more than two months left in their journey and I only had 10 days left. At this point 10 days didn't seem like very much time to have left, but after further review I reminded myself that it was longer than most of the vacations I had taken over the past 15 years! At that point I decided that having 10 days left on my bike was not all that bad especially since it included riding through Oregon and along the Oregon coast for several days during the Oregon 'dry season'.  I had to ask these new travelers if they had already rid themselves of the extra equipment and clothes that they thought they needed when they started their trip but quickly decided they did not need when they rode over the first set of hills of their journey. I am convinced that this is an activity that all cross-country cyclists go through no matter how well they have packed. I knew that I had packed very efficiently when the owner of the hostel in Dudley, Massachusetts, where I stayed my first night on the road, told me that I was most likely carrying way too much gear and that I would probably send much of it home. I poo poo'd his comments. After my first day in Connecticut with the first serious set of hills, I found out just like all cross- country cyclists find out, that I had lots of stuff that I could easily get rid of. I just hadn't felt the pain until then! This couple had seen the light and felt the pain a couple of times and had already visited the post office twice to make shipments of excess items.  As I crested Tipton Pass, the second of the three passes, I could see fires on the hills on the other side of the valley. I stopped for lunch in Austin Junction. As I ate my lunch I saw fire crews head east down the road towards the fires. Luckily at this junction I was heading west which was away from the fires. But as I headed out of town and up to the top of Dixie Pass, the Forest Service roads heading south off Highway 26 had been closed due to the fires. Luckily this is as close to the fires that I ever got even though there were many fires in Oregon at the time and many were still very much out of control.
"
4,"I stopped for lunch in the town of John Day then headed on to Dayville where there is a hostel at the First Presbyterian Church. The church allows cyclists to stay there and sleep in the fellowship hall. Dayville was probably one of the friendliest towns of my entire trip. Everyone was very helpful in the town, as the local contact for the hostel had been hospitalized. In a town this small, population 205, it is probably pretty easy for everyone in town to keep up with everyone else's business. Pretty much everyone I talked to knew where the hostel was and what I needed to do to get into the hostel and get registered. I got to the hostel and cleaned up then walked into town for dinner.  One really nice thing about hostels along the route is that they all have logs that you can sign in and see where all of the others that you know in your riding community are along the trail. The KIWIs were now only three days ahead of me, and Sarah and Bob Wallace were only one day ahead of me. Sarah and Bob had been at the hostel the night before and enjoyed being there for a dinner that the church had for the firefighters that were in the area. I called Sarah and Bob that night and left them a message on their cell phone to let them know I was close and to see if we could meet up again. There was no sign of Nick in the log so he must still be behind me. I left him a note on the log with my cell phone number and email address.
"
5,"The two passes were Keyes Creek Pass at 33 miles and Ochoco Pass at 56. I stopped at a Forest Service Campground at the Ochoco Pass Summit to check it out and decide if I should continue down to Ochoco Reservoir or camp at the top of this summit. I talked to some locals and they recommended heading on down to the reservoir; and since I was already leaning that way to avoid the cold ride down in the morning, I headed on down the hill towards the reservoir. I left the top of Ochoco Summit at 1:30pm and the wind hadn't been too bad so far. As I headed over the pass I figured I would begin to hit some wind on my way down the pass, but since it was all downhill to the reservoir I figured how bad can it get? Well, the wind picked up at 2:00pm and I was peddling hard into the wind all the way down that hill!  I camped at the Ochoco Reservoir County Park and had a great site right on the lake. This lake was showing some signs of the drought in Oregon as the water level looked to be down about 15 to 20' from normal. It was still a nice place to camp and swim. After my swim I had a great dinner at a restaurant overlooking the lake.
"
6,"   It had been a nice quiet ride on back roads so far in Oregon, but that changed when I got to Redmond and got on Highway 126 towards Sisters. I made it to Sisters by 11:30 am and stopped for lunch. Sisters is a beautiful town in the central mountains of Oregon. It is a touristy town, and the summer crowds were out in full force. McKenzie Pass was west of town about 15 miles, and there were some really nice National Forest campgrounds just on the other side of the pass that I was going to try to get to for the night. After lunch I headed to the ranger station, as my touring book and the Adventure Cycling maps did not agree on whether there was drinking water available at the campgrounds. After getting assurance from the park rangers that there was no drinking water available at the campgrounds, I headed back into town to load up on water before heading out towards the pass.  I also checked my voice mail before heading into the wilderness for the night and found out that I had passed Sarah and Bob Wallace that morning in Prineville. They took a rest day in Prineville today and were planning to continue to Sisters the next day. I was sorry to have missed riding with them again. They were planning to end their trip in Florence, Oregon, on 8/7 so were in no hurry these last days of their trip. I also had a message from Nick who was now two days behind me. Nick was also planning to finish his ride in Florence. The nice thing about heading up McKenzie Pass is that I got off of busy Highway 126 as I left Sisters and got on Highway 242. The climb up the pass was long but gradual. Highway 242 is a very windy road and auto traffic is limited to 30 feet of total length. The traffic was very light and no RVs which is always a blessing. I stopped at the overlook at the top of the pass where you could see all the way to Mount Hood just outside of Portland 70 miles away. It was a nice place to take a break.     As I was enjoying my break, a guy drove up with his two kids. It turns out he was giving his wife, who was back at their campsite, a break and had loaded the kids in the car to go back into town to get some milk. As the two kids tried to lower the level of the pass by throwing as many rocks over the side as they could, we talked about the area. He was camping at Scott Lake which is the campground that I had thought would be a nice spot to camp. He said it was a great campground on a gravel road about a mile off the main road and that I would have no problem with my bike on the gravel road. He also told me that Scott Lake was not one lake but a series of natural alpine lakes and that there was a nice wide trail that started at the end of the road that went to all of the lakes. He thought that if I rode my bike down the trail I could probably have one of the lakes back away from the road all to myself as the road only went as far as the first lake. This sounded really nice to me! He also briefly mentioned that there were some mosquitoes in the area.    Turns out this guy used to be a bush pilot in Alaska. He then made the transition from bush pilot to fishing guide and had been a fishing guide in eastern Oregon and Idaho for a while after coming down to the lower 48 states. We were talking about the salmon runs that take place up the Columbia River, and he said that it was hard for him to eat salmon anymore after seeing how far they swim up river to spawn. It is pretty incredible to think that some of these fish swim the length of the state of Oregon just to get to the fast running waters of Idaho. There are now 11 dams on the Columbia and other rivers that they have to climb to get into Idaho. He thought that after they had traveled all that way, it is really hard to end their travel in a frying pan!     After our talk, he headed into town and I headed for Scott Lake. The gravel road was just as he had explained it, and the nice wide walking trail started right at the end of the road. I headed down the trail about ½ mile until I got to the second lake. I parked my bike just off the trail and walked down towards the lake to see if there were other campers. There was one other set of campers on this lake so I headed back to my bike to continue down the trail. I walked to my bike and was about to get on it when the swarm of mosquitoes that had been following me since I arrived at the lake finally caught up with me! This was no ordinary swarm of mosquitoes! It was only around 7pm so the sun was not even going down yet and these guys were out for blood! I began swatting my legs and my arms - killing 3-5 with every slap on my bare skin. These guys weren't just going for exposed skin; they were landing on my clothes, in my ears, eyes and nose!  I scrambled to get to my trusty REI DET repellant that I had tucked away in my camel back, wondering if I would get to the repellant first or if the mosquitoes would carry me away first. After what seemed like eternity, I got to my repellant and applied it to all bare skin and jumped back on my bike and headed for the next lake. This episode with mosquitoes reminded me of a passage in the book 'Undaunted Courage' which was taken from Lewis' journal of the Lewis and Clark expedition. Lewis noted in his journal, 'our trio of pests still invade and obstruct us on all occasions, these are the musquetoes eye knats and prickly pear, equal to any three curses that ever poor Egypt laiboured under, except the Mahometant Yoke.' At this moment, I could only imagine what they went through as they had no repellant to fall back on! (By the way my spell checker did catch Lewis' spelling errors but I decided to leave the quote just as Lewis had written it.) I soon got to the third lake and it was just as my friend at the pass had envisioned. I had the entire lake to myself, except for the swarms of mosquitoes that summered here on the lake! There were three campsites right on the lake that I would have all to myself with mountain peaks reflecting in the lake. I parked my bike and quickly made my way into the lake for a refreshing swim. Once out in the water I was somewhat left in peace to enjoy my soak, but as soon as I made my way back to the shore, the mosquitoes were there to drink to my return.     Thank goodness, it was cool enough that I could put on layers of clothes to help shield me from their aggression. I put on my long pants, wool socks, long sleeve shirt, long sleeve fleece and hat. I applied repellant to all exposed skin plus my hat and socks. Even with this there was a constant cloud around me while I prepared the camp and cooked dinner. The best defense was to keep moving so I walked in circles around the camp as I prepared and cooked dinner. Once dinner was over I headed to my tent so I could get an early start the next day and get some relief from the mosquitoes. Surely they would not be out in the morning!
"
7,"I stopped for lunch in McKenzie Bridge and considered camping there on the river for the night, but since it was a nice weekend the campgrounds were all full and there were no hiker/biker sites so I continued to Coburn. On the way from McKenzie Bridge to Coburn the blackberry bushes continued to amaze me on the side of the road! For ½ mile stretches at a time the blackberries would be thick and the ripe blackberries covered the bushes. I stopped several times to eat handfuls of blackberries. I even got picky at choosing which blackberries to pick. At first I was picking any blackberry that had turned black as that usually indicates that they are ripe. I soon learned however that the black berries that are visually plump are the ones that are really ripe and the sweetest!     The book I have on the cross-country bike trip suggested stopping in Coburn and staying at the Kamping World RV park. I could not have picked a spot more drastically different than my previous night's campsite.  Where I had the lake and campground basically to my self (less the mosquitoes of course) at Scott Lake, I now shared my campground in Coburn with at least 100 RVs. As I rode through the RV park to my tent campsite, I noticed many people in their RVs watching their big screen TVs in their easy chairs. It felt more like I was in a suburb neighborhood than a campground! But I later came to realize after discussing this experience with a friend, that if everyone liked camping in the Scott Lake campgrounds of the world, I would no longer like them because they would be to crowded. So, I should be thankful to the Kamping Worlds for attracting the crowds!
"
8,  
9,"Just outside of Corvallis, as I headed west on Highway 22 towards the coast, I ran into the first 'Oregon coast' riders that I would meet. Tom and Anne had just started their weeklong bike ride in Corvallis where they live. They were riding a recumbent tandem and were heading over to the coast and then down to the California border. Tom had done the northern tier cross-country ride a couple of years ago from Seattle, Washington, to Portland, Maine. He was just getting Anne comfortable with longer rides. As we headed west it looked like we would skirt just north of the rain, but it soon started to rain pretty hard. They were only going as far as the Casino at Grand Ronde their first night which was 50 miles from Corvallis. I continued at Grand Ronde and stopped for lunch in Boyer. The restaurant in Boyer (actually Boyer was not much except one restaurant) was closed on Mondays and since I had picked a Monday to arrive I sat out on the front porch and ate some snacks I had with me and watched it rain. About an hour after I arrived, it finally stopped raining and I continued towards the coast.  I got to Otis, which is only a couple of miles from the Pacific Ocean and met Steve and Sandy from Connecticut. They had started their ride in Portland the week before. They were heading 5 miles south of Otis to Lincoln City for the night. I was either going to Lincoln City, which was a little south off my route, or 10 miles north to Neskowin. Luckily I ran into them as they told me there was really nowhere to stay in Neskowin and that my celebration for reaching the coast would be much more enjoyable in Lincoln City. They also offered to buy the first round in Lincoln City to celebrate my reaching the coast. This was an offer that I could not refuse so I also headed to Lincoln City for the night. By the time we got to Lincoln City the fog had set in so thick that the ocean could not be seen. It was also a little cool so I decided to go to the hotel and get cleaned up before going out for my celebration. We headed out and celebrated even though I would not see the blue Pacific until the next day. I thought I had somewhat returned to civilization until I tried to order a Grey Goose martini at the bar to begin my celebration. Some time later, the waitress reappeared and said that I had the bartenders stumped on what was in a Grey Goose martini. At this point I decided to stick with drinking beer for my celebration!
"
