,blog
0,"At Owhango after 20kms we went across latitude 39degree south, so the sign by the road said. Then later on into view came the volcanic mountains of Mt Tongariro 1967metres and Mt Ngauruhoe 2291metres (these are both extinct) just as the clouds had quickly dispearsed from them to give clear blue skies and it was warming up a lot as well. The Tongariro Crossing is a 6-8hr walk across these two volcano's and is classified as 'one of the  world's greatest one day walks'. All very subjective but it is an excellent walk through a very unique landscape. We did it 2 years ago on a day very much like today. Further up the road the snow capped volcano of Mt Ruapehu at 2797metres (this one is still active, though currently dormant) came into full view - what an impressive sight. It was in our view for most of the rest of the day.      But just as things were looking really good they went downhill from here or rarther uphill and very uphill. The railway line  at Raurima goes on lots of little spirals to gain 200 metres in height to get onto the plateau whilst the road, darn it, just goes straight up. Not that bad you may thing, well, unfortunately it was steep (make that very steep) and the sun was fully out now and we were sheltered from the breeze so it was hard, sweaty work, make that very hard, sweaty work. The legs decided at the top that that was it, we're going on strike, enough's enough - give us a break mate. Luckily National Park village was a few levelish kms further on where we could get food, drink and some rest.  Mt Ruapehu dominates the skyline around here; the view from the pub window gets 10 out of 10. We were both a bit in collapse mode and thought that if the next 35kms to Ohakune was very hilly then it might take us ages with the state of our legs but fortune shined down on us and we got some good downhill runs and only a few short hills and then later a tailwind so we covered the 35kms in 1hr 20mins. The moral of which is: no matter how much somebody complains about something they can always overcome that obstacle with the correct determination - did you hear that, legs!      Anyway just to show that we have some compassion we are going to give them a day's rest tomorrow - well they have been on the go for 6 consecutive days now and have taken us up lots of hills. They deserve a rest - but only a day mind. Weds 07/01 - leg's rest day Cool, cloudy and breezy was the good morning greeting so there was no need to rush out of bed and we had no intention of doing that either - it was rest day! Ohakune is a pleasant place being a walking centre in the summer and a ski centre for the winter so it had lots of facilities yet was a quiet relaxing place and the campsite was only a 2min walk from the centre - we could manage that, so we did it twice, in between doing nothing very much. It brightened up by lunchtime to become a very pleasant day indeed - exactly what we needed.   "
1,"    Ohakune is about 800metres high, don't know what the height of Ohingaiti is but we had a lot of descending today especially from Waioura after 27kms on State Highway 1. We had decided to bite the bullet and follow SH1 rarther than seek out minor routes mainly because of the indifferent weather this morning and we are also keen to get down to Wellington and then onto the South Island a.s.a.p.    The lady in the Info Centre at Ohakune said SH1 had a hard shoulder (which it did) and the added benefit was the traffic actually wasn't too bad; it just built up during the day but was no worse than a lot of the roads we ride on in the UK.  So with a favourable wind and lots of descending (though still with a few uphills thrown in) we managed to average 22.5kph so no wonder we used the big chain ring a lot and shouted yippee! -  and about time too! We had a pie and coffee stop at Waiouru after 27kms then another cafe stop at Taihape after nearly 60kms and then at Mangaweka further on there was a cafe in a airplane so we just had to stop there for the novelty value.       The only issue today was that there was no campsite for another 60-70kms in the direction we were going after Mangaweka so we found a good value hotel/pub at the small township of Ohingaiti and by mid-afternoon we had showered and had a beer. No cooking tonight as it's pub food and another beer or three and a big cooked breakfast tomorrow to set us going.    We got a text message from Richard & Elaine who were now south of Auckland after leaving Wellington this morning; they had taken a different route north so we missed each other. They are spending their last few days above Auckland before flying on to LA on the 12th. Today's interesting fact: At Tangiwai before Waiouru there are warning signs and lights and also gates that can be remotely brought across the road to stop traffic going across a bridge. The river here is prone to flash flooding and was the scene of NZ's worst rail disaster many years ago.   "
2,"Well, we had an interesting, varied and a good day today. We knew it would be like that from the moment the pub cook knocked on our bedroom window so she could climb in through it as she didn't have a key and the owner was still in bed and she couldn't raise him. On top of last night's huge meal (and beers) we had 2 large sausages, 2 eggs, a pile of bacon, hash browns, tomato and a heap of toast to get through before we were off. We took a sausage each away with us intending to eat it on the road but we hardly ate at all today such was the amount of calories we were holding in store.    Weatherwise we had a whole bag of stuff with the common theme being the gusty wind which got stronger as the day went on. It was blowing from the NW which apart from a few sections where we had a difficult side wind to cope with it was mainly a tailwind blasting us along and being that extra gear going up the hills of which there were quite a few today. It was appropriate that one long climb should lead up to 'Stormy Point Lookout' - it was that sort of a day. There were lots of broken branches and tree debris on the roads and quite honestly any other direction than the one we were going would have been impractical on a bike. We started off bright and sunny and finished bright and sunny but in between a rain front came through for about 4hrs; total cloud cover and squally showers of which we got none apart from a bit of drizzle - good planning, eh? The best one was when we got to Cheltenham and had just sat down outside the dairy under the canopy when the cloud above us just decided to dump the lot. Water everywhere and then nothing 10mins later.    The wind also helped to break this trip's speed record which was held by Jo at 65kph. Well I got to 69kph and was going for the big 70 but ran out of downhill. Unfortunately this record probably won't get ratified by the committee(Jo) as the wind speed was definitely outside the permitted level. Routewise we went down SH1 for about 12kms before taking SH54 (the backwind hilly road) to Cheltenham and on towards Feilding. Struggling with a side wind from Cheltenham on a long straight road we turned it into a backwind by turning left for 18kms to Ashhurst. Our map showed a camping ground here (we needed an early stop to get some clothes washed). However it was a very basic bare facilities place and a bit naff so we carried on for another 18kms to Woodville. This section involved a lovely winding 6kms climb on the old road (the busy main road goes through a gorge) to take us over a saddle into the next major valley. When we were at the top we watched a rainstorm pass right over Woodville in the valley below - it was dry when we got down there.        Woodville had a good basic camping ground near the centre of town but no clothes washing facilities. Anyway, even if we had washed anything they would probably have got blown off the washing line as the wind was really strong now. The site only cost us 4$; it had a good shower(one) and one toilet and a sink but nothing else so we are eating out again tonight but not as much as last night that's for sure. Postsript: went to the local cafe and had the 'Roast of the day' which was 'hogget' which according to the lady behind the counter is a 'teenage sheep' - i.e between lamb and mutton! We must have lead sheltered lives as we didn't know that - it was good though. In Woodville we went to a shop and whilst in there read about a girl camper who had been blown away and killed whilst in her tent on a hill in the Marlborough Sounds (that's the very north of the South Island) - that was during last night. We are getting those same winds now but we are quite sheltered here though the tent at the moment (18:00hrs) is getting a real bashing. Things of note today: Funny how yesterday's and today's distance are the same; actually to within .25 of a km. Whilst coping with a difficult side wind early on a magpie had the audacity to dive bomb me; gave me a real bash on the helmet. I have now got a beak puncture hole as a momento and if I ever see that magpie again....... Warning to others on the road tomorrow: Keep upwind of us as we may smell a bit, well one of us will (guess which one). I have run out of clean cycling clothes. Got a text from Richard & Elaine; they are way up north above the Bay of Islands and enjoying high temperatures and no wind.
"
3,"Overnight we had to endure a variety of barking dogs from neighbouring houses who were, shall we say, a bit of a nuisance; we won't be stopping at Woodville campsite again. They were still going strong when we packed up and called off for a light breakfast in town after dropping off the key to the campsite shower/toilet; that involved shoving it under the door of the pub on the corner. We then took the highway for 16kms to Pahiatua for an early coffee stop as we didn't know where the next cafe would be. That's one of our rules: don't presume that there will be a cafe available at precisely 11:00hrs, grab your morning coffee when you can. The weather today: cool and quite cloudy to start with and then by lunchtime we had total blue skies and by mid afternoon when we finished it was hot to very hot - high 20's C.The Nor'wester from yesterday was still blowing but nowhere near as strong and it blew us along most of the way along gentle roads. We would have recorded our fastest average speed today except we hit about 10kms+ of gravel road, a section of which was really bad and slowed us down considerably, but the scenery was good as we struggled along. We are in the Wairarapa district now, all dairy and sheep farming, Masteron being the major town. The country roads hereaabouts are clever little roads; they don't go shooting up every hill in sight like those in Northland, they follow the rivers and wind their way along quiet, pretty valleys. Top marks to the Wairarapa country roads; they have even had a song written about them - 'country roads, oh, country roads, take me back...............'  We got to Masteron at 14:55hrs and you would think at this time on a saturday afternoon in a major town the place would be heaving - not a chance! All the shops are shut and if we had been 5mins later we wouldn't have even got a coffee! This apparently is a common NZ thing for country towns. No eating out tonight, it was the campsite kitchen and a bench outside in the evening sun and a bottle of wine (as well as some food that is). Can't remember the celebration reason for the wine but there must be one. It'll come to me....    That weather of yesterday: We were reading in the paper about the damage that storm has caused in other parts of the country, mainly the South Island  - major flooding on the West Coast of the South Island and also Electricty pylons blown down; campsites flooded etc. Sudden bad weather like that is not an uncommon feature in NZ through the summer - we just hope we continue to miss it all.         "
4,"A chalk and cheese day with 35kms of flat roads to begin with through the small towns of Carterton, Greytown and then Featherston where we had a late breakfast to put some energy reserves in our legs for the 10km climb up Rimutaka Hill at 555 metres. It was a lovely winding climb with a steady gradient only spoiled a little bit by the sunday traffic but they tended to come past in blocks - one slow car leading a trail of others all trying to get past it. Some great views from the top and there was a cafe there as well so a double bonus. From there we had a 3km descent then it was short ups and downs before a more gradual descent through the urbanisations of Upper Hutt and further down appropriately called Lower Hutt and on to the campsite.        Weatherwise it was a chalk and cheese day as well. After a cool night under clear skies it was very warm from the moment the sun came up and got hotter as the day went on - high 20'sC. It was a good job we got some breeze on the big climb to knock the edge off it otherwise that would have been a hard one. Then by 17:00hrs high clouds came over and a cool wind sprung up and it got really gusty through the evening. At the campsite we met the first cycle tourists we had seen since Auckland. A Welsh lad and his Australian girlfriend (who spoke with a Welsh accent - a rare combination). Got a text from Richard & Elaine: they are back in Auckland today, ready for their flight onto LA tomorrow. They have been horse riding and said they are a bit sore - so sat down for a12hr flight doesn't appear to be the best remedy, does it? Today's mildly interesting fact: Greytown was NZ's first planned inland town and is quite a pretty little place; a bit arty, crafty though. And something else: On the way up Rimutaka Hill, in a small layby, there was a car jack and handle. So, somewhere in NZ, there is a guy rummaging around his garage and searching his car and saying 'now, where the heck did I put that jack and handle? I had it when changed that wheel............doh!' Monday Jan12th - a day off in Wellington The problem with going into a city is that we tend to spend too much money and that was the case today. We both needed a new pair of cycle shorts as we had worn through one other pair. You always know it is time to change your shorts when the person riding behind you says 'do you know I can see your bum through those shorts' It's a bit like a rear stop light going out on your car; you need somebody behind to tell you. So a new pair of shorts each, that was the first big expense and there was no sale on either! Cycle shorts don't come cheap here comparitive to the UK. Then, we had to book the ferry to get across to Picton on the South Island; so, that's the second big expense (but much more essential in our opinion) - we are off tomorrow. Other than that we had a wander around, had our normal cafe coffee stop; we like Wellington, it's a lovely location by the bay and doesn't really seem to be like a capital city - office workers out for lunch sat outside cafes and along the harbourside, some off for a jog along the bay; all very laid back. We uploaded some more pics and generally tried to avoid going into any more shops and spending money apart from getting something for tea that is - and we got a bottle of wine to 'celebate' reaching Wellington (that's seems like a good enough reason doesn't it) Weatherwise we had a lovely hot day before it cooled down nicely with increasing cloud cover by late afternoon. We need it to remain calm though for the 3hr ferry crossing tomorrow; I, specifically do not do bouncing boats well at all.     "
5,"Apart from the weather the other upset of the day was having to fork out an extra 10$ for each bike; the Tourist Office where we booked the tickets never mentioned that. The weather, even though the rain had stopped by the time we were on the boat, spoilt the crossing as a) the views looking back to Wellington were nil and b) the views when we entered the Sounds of the South Island weren't much better - pity, perhaps we will have better luck on the return trip. At least it was a smooth crossing so I had no problems. There were 3 German cycle tourists on the ferry and 2 Brits from Worcester who were travelling light; they were over here for 3 weeks heading down to Christchurch. There were 2 other German cyclists at the Picton campsite and then 2 Swiss cyclists turned up who remembered seeing us up at Dargaville many weeks ago (they were on a bus at the time). Also at Picton we did spot 2 english touring bikes but not their owners so within half a day on the South Island we have seen more cyclist tourists than in the past 2 weeks. Then, after the 17:00hrs ferry docked 5 more cyclists turned up. We are starting to take over the campsite - on the tent site area we are the majority!      We arrived in Picton by 12:30 (a 3hr crossing) and after a lunchtime snack we went straight to the nearby campsite as we never planned to move straight on today anyway. That was good planning as the southerly wind was quite strong so it would have been quite a struggle. We will see what tomorrow brings as we may go for a walk on the Marlborough Sounds hills as the forecast is good but as at this evening it is very cool and windy - the long trousers are going on. Weds January 14th  -  a do nothing very much day A hot sunny day and a day which we did nothing much really. The provisional plan to go for a walk did not get progressed mainly because one member of the party (me again) was getting the early symptons of another throat infection so a visit to the pharmacy and plenty of rest was planned instead. I am going to have to visit the doc when we return home and find out what is going on in my throat. Jo's view is that I can't hack the pace she is setting and has promised to slow up a bit............cheek of it!  Her other view is that there is so much rubbish coming out of it then it is not surprising it is getting infected! So, in the morning after a late up we walked into town (about 500 metres), bought a throat gargling solution, had a coffee, went to the internet cafe (unfortunately we couldn't upload any pictures there; that will have to wait), bought some food, bought 3 books for 15$ in a sale and were back at the campsite by lunchtime. In the afternoon we did nothing really apart from sitting in the shade reading our new books and chatting; except Jo had found herself a really absorbing book so there was hardly a peek from her.  Of the cyclists here last night 2 have left, another 2 are catching tonights ferry - that leaves 7 of us of which at least 5 of us are having a real lazy day. We then found out there was a dutch cycling couple hidden away on the other side of the campsite who weren't moving either. All these cycle tourists and not a lot of cycling being done! Then off the evening ferry another 3 joined us so we are still the majority on the tent area. A warmer evening than yesterday so we didn't need the long trousers!     "
6,"Initially we will head down the East Coast to Kiakoura and then head inland around Christchurch and possibly towards Lake Tekapo area even though we have cycled there before (in 1999). After that we will have to see what unfolds. We are seriously considering riding at least part of the way back up the West Coast as we do love that area but will probably not cycle all the way back to Picton. Read on.....................
"
7,    We got some respite from the wind by stopping at a teahouse at Ward just before the final hill of the day which then dropped us down to the coast and our finish 1km down a gravel road to a farmhouse which has been running a popular self contained small bunkhouse with tent area for cyclists for a number of years now Just the 4 of us staying; there was a Swiss lad in residence who because of the wind decided he wasn't going anywhere today - wise decision. Scenically today there were lots of dry barren looking fields and hills today with higher mountains in the distance. The highest one around had snow patches around the top. This eastern side of the South Island and especially around Christchurch further south is going through a serious drought this summer which is probably ok for the wine growers around Blenheim but not for the poor arable and sheep farmers.     
8,"Luckily it isn't;  you have to expend some energy to see it. From where we were that first involved cycling 11kms down the valley on a gravel road that got very hilly for the last 4 kms before we arrived at a farmstead at the road end appropriately called 'Isolation House'. The views were great already - a wide gravel, nearly dry river bed (the River Waimu) surrounded by hills. From the house it was on with walking shoes for a 1hr+ 'walk' up the narrowing valley.          We say 'walk' but we were actually following the river with sometimes a narrow path on one side and sometimes on the other side so the river had to be crossed and recrossed a number of times; there are no bridges, we  just waded across - quite refreshing on a hot day like today. Sometimes there is no path at all so we just walked up the river bed. Of course after a lot of rain the route can be just plainly impossible. The first gorge we came to was impressive enough with 200 metre high limestone cliffs towering above us and the water cascading over a series of small waterfalls and over large boulders. Beyond here we turned off up a narrower stream and shortly after came to 100 metre high cliff face which first sight looked impassable. But the stream can actually be followed into the cliff face through a winding 4- 5 metre wide gap with the cliffs towering above us; this is Saw Cut Gorge - it went on like this for about 50 metres before the slitt widens out but with the cliffs still towering 100 metres or so above us - a truly amazing place and so unexpected and we had it all to ourselves. After spending some time there all we had to do then was retrace our back to the bikes with a dip into one of the many river pools on the way and then ride back to the bunkhouse where we had 2 new arrivals - the Dutch couple who were at Picton.       "
9,"     We stopped at the first cafe we came to after 16kms (there wasn't another for 55kms - remember that rule we have) and bumped into an English couple from the Isle of Wight. They had stopped at Ward last night and said that there were a good number of cycle tourists there - all heading south today. We overtook one shortly after who had stopped for a rest so by now we were the front runners and never got overtaken before Kaikoura - we were there by late lunchtime. We even forced ourselves to stop a few times on the way, to take pictures, admire some view, grab a snack, watch the seals at the large seal colony we passed and have a drink at another cafe just before Kaikoura. We were reluctant to stop for long because what was at the back of minds was 'what if this wind suddenly switches direction like the other day' - we would be a mite dissappointed to say the least.    The waves were really crashing onto the beach at Kaikoura with the wind whipping along but we found a sheltered tent spot on a campsite about 50metres back from the beach.The seas were so rough today that the Whale & Dolpin watching boats never ventured out. But, then about 19:00hrs as we were eating out (a saturday night treat) the wind suddenly died completely down and we had a very pleasant evening to finish the day -  those waves were still crashing on the beach and making a heck of a noise but they didn't stop us sleeping.  A cycle tourists tale............. The english couple we met today had a great story to tell when they were on a gravel road on the West Coast of the North Island above New Plymouth. Overnight rain had badly flooded some sections. Cars couldn't get through but they waded through the first 100metres section fine, carrying their bikes and bags on separate trips. Before the next 150metre flooded section a farmer had said to them 'once you get through that you will be ok' - wrong! They waded through up to their chests pulling their baggage along in a plastic container they had found by the roadside. They got through and then found there were even worse sections ahead so they went back to where the farmer was and he put them up for the night. They became overnight celebrities getting their picture in the local paper. The next day the flood waters had fully receded so they could carry on without a problem. Perhaps that's one of the other extremes of cycle touring.   "
