,blog
0,  
1,  
2,  
3,  
4,  
5,  
6,  
7,  
8,      
9,        
10,                  
11,          
12,    
13,    
14,  
15,"As for where we will be each night, that is up in the air.  We are on vacation, so this is no race for us.  I'm pretty sure we will be starting very slow heading up the MTS and then will pick up speed as the land gets flatter and our thighs get thicker.
"
16,
17,  
18,  
19,      
20,      
21,"   The 10 mile ride from Oceanside was really beautiful.  The last 2 days were also nice, but this darn fog is really putting a damper on enjoying the beautiful views.  Also, haveto note a TON of race cyclists out here - wow.  RC and I look slow as slugs next to these guys. Stuck in Encinitas when we realize that RC's bike was way to squirely with only rear paniers and his fork couldn't take a front rack.  Much bike shop shopping later, RC ops for the trailer.  Much laziness also holds us in comfortable Encinitas.  Leaving SF was super stressful for me, I did not leave myself enough time before quitting my job and getting on AmTrak to get stuff done.  Encinitas offers a nice comfy place to make final adjustments and get my life in order. Ok, its now Tuesday night - 1 weeks since we left SF and we are going to start heading East tomorrow and will begin using our Adventure Cycling maps.  I'm excited!  This past week was more just prep and meeting up with old friends.  Now the adventure really begins.   Yup, I'm having bacon for breakfast tomorrow!   "
22,
23,"Roads: HWY 8, which you have to go on for 3 miles, isn't so bad - very wide shoulder
"
24,"More talk of CATMAN at breakfast.  guess the guy claims to be a shamen priest and is going to grow a tail next. Long ride today up and down at the top of these MTS but then a looong way down into the dessert.    The ride was great - to come out from all the MTS to see the desert floor way below us and then ride down all that way.  Wow. Stopped in Ocitillo, which really is nothing.  A hotel w 4 rooms, a few RV parks, 1 restaurant, and a small grocery - this is a sign of things to come?   Luckly we stayed w John Jackson at his ""Adult"" RV park.  Ok, nothing scetchy here, that just means he don't want kids around.  He let us stay for free since we were crazy enough to bike accross the country.   Super nice friendly guy - again a sign of the future? Hot as a !@#$ in the dessert, we felt the hot air
"
