,blog
0,
1,"I anticipate curious looks from other cyclists I pass. In California,  the sight of a girl alone in old race clothes on a fully loaded touring bike would prompt a barrage of questions but here in Zuid-Holland where the bicycle commuters outnumber the automobile commuters, I don't even draw so much as a passing glance. I lose my self-satisfied feeling of bike-holiness as I pass a couple of Dutch mothers on bikes, pedaling along while reading newspapers and jouncing several babies on the front of their bikes. Dutch folks literally grow up on bikes, which makes it no small wonder that the Netherlands produces so many talented pro cyclists. I pass through pastures criss-crossed with canals, the cows staring at me through the mist rising in front of their placid faces. The morning is as softly beautiful as a watercolor, and I wish I'd gotten an even earlier start so I could enjoy it for longer. I zone out to the company of my portable CD player (which is blaring Mano Negra's first album) and breathe deeply, enjoying taking in an entire lungful's worth of air.  Seems like I've spent all winter in smoky living rooms, drinking diet coke and watching Dutch soap operas (I live with 25 members of the Dutch fraternity Minerva, a group who wants me to carry the message back to America they are the Dutch equivalent of Yale's Skull and Bones). I've planned out my route as best I could from a three-euro map showing all the bike paths in the Netherlands. First I'll go from Leiden to Zoetermeer, from Zoetermeer to Gouda, from Gouda to Leerdam, from Leerdam to 's-Hertsogenbosch, from there to Vught, from Vught to Eindhoven, and from Eindhoven to Maastricht. I figure if I go twice as slow as a train, or even three times as slow, I'll make it to Maastricht in nine hours with still plenty of daylight to sit at a terrace café. I decide not to stop and take photographs today because I plan to beat the clock and make it to Maastricht in 8 hours (six hours riding plus two hours of getting lost). The Netherlands is absolutely chock-full of road signs for cyclists, and I anticipate no real problems finding my way, with the help of the bike-path map. Three hours later, I realize that while the map may have all the bike paths on it, it doesn't have the names of the TOWNS the bike paths go through, or how to find them. I have stopped at least every twenty minutes to ask directions, and have doubled back twice after an hour of riding in the wrong direction. By 2pm, I still haven't made it to Eindhoven and I'm starting to think that I might not make it to Maastricht in one day. I slow down a little to enjoy the view, and decide not to take any pictures. Any photo I'd take will look like a cliché. I cruise peacefully along the top of a dyke for several hours, passing farmers stomping around in wooden clogs, thatched roof houses with gardens full of tulips, and happy cows. Imagine every quaint idea you've ever had of how the Netherlands looks, and you've got a good picture of this area of Brabant. After crossing several large rivers, or perhaps the same river three times (I'm not really paying attention, just enjoying the view as I roll my bike onto little ferries and chat with locals about where I'm headed), I still haven't found the next little town on my list. The hours pass by. I'm wondering why it's taking me so long, and thinking that I should be able to blame someone for this delay (maybe the people who sold me the map?) but unfortunately there's not really anyone else around here to blame. I'm in high spirits, though, because I can think many worse things than being 'lost' in a beautiful country and having the whole weekend to make it to my destination. 6pm. Finally made it to Eindhoven. I telephone my friend Marieke's mother, ready to call it a day. I think she hears the desperation in my voice because she tells me to find a nice patch of sunshine to sit in (it's still an absolutely gorgeous day, the nicest I've had so far since living in the Netherlands) and she'll come and find me. The bright yellow polo pulls up to my sitting spot by a canal as I'm writing in my journal,  'At the end of a ten hour day on the bike, even if it was flat and slow and gorgeous weather, everything seems a little overwhelming and the idea of going 100km to Maastricht tomorrow, let alone three weeks through French mountains by myself, does not seem very appealing. My back hurts, I'm grimy, and I really want my mom. But there are plenty of women who have toured France alone, for much longer than I, and I want to make myself tougher, both physically and mentally. I will regain my excitement after a shower and a rest.' and I draft off the car for the last 5km to their house. I am offered a Belgian beer the second I set foot in the door (I knew I rode bikes in Europe for a reason!), but I opt for a gallon of water and a shower first. I join my hosts downstairs in the garden as the sun goes down and we chat about my map (awful), the ride (wonderful), my pluck (they are impressed, but I still think I'm a wimp), and asparagus (they've gotten hold of the Netherland's very first asparagus of the year from a famous asparagus farmer and we're going to eat it for dinner). We have a delicious dinner of new asparagus with hardboiled egg crushed over the top, potato puree (a Dutch staple), and ham (another staple). After eating surprisingly little, I beg off dessert because my stomach has literally swollen to the size of a watermelon (I'm not joking! I'm six feet tall, so most of me is big, but I don't feel that watermelon is the proper size for my stomach, now or anytime). I excuse myself to go look in the mirror and instead of the freshly freckled face that I expect to see after a brisk day of cycling through the countryside, I see a whitish-green ghost with sunken cheeks. Hm. Maybe I should've drunk more water.
"
2,"I am SO SORE today, especially my rear, thanks to the cheap saddle I got for free from my shop. It was from the 'crappy saddle' bin, and anyone who's gotten a saddle from this bin, in any bike shop, can sympathize with the state of my posterior! After an on the bike, though, my muscle soreness dissipates and I enchanted with the still morning again today. I zigzag through absolutely deserted country roads, going in and out of forests, through sheep fields, and across the Belgian border. This forested area of North Belgium actually feels a little wild (a lovely change from the orderliness and perfect squares of the Netherlands). I am reminded, though, that nothing here is really wild when I round a corner and come across a Belgian with his car stuck in a deep sand bank. He's fine, laughing and smoking a cigarette, but I stop anyway to ask for directions (it's hard to believe that after 2 hours I am still pointed in the right direction). I am still pointed in the right direction and I realize the reason I like Belgium so much is because nobody looks at me askance when I speak Dutch to them. Maybe they can't tell I'm American because Flemish is an even funnier language than Dutch. I've been asked by many Flemish-speaking Belgians if I'm from Friesland, which I take as a compliment. The forest ends too soon and by the time I got to Weert my butt is hurting pretty bad. I stop at a bike shop and build up my European Peloton Wardrobe with a pair of Rabobank shorts. Trying to find my way through Weert, however, is not as fun as shopping for spandex. My plastic-encased directions-sheet has been in my hand for an hour because there's a turn literally every kilometer, and I lose my way. I decide that getting to Maastricht quickly is more important than a pretty route, so I set off to follow the highway. It has taken me three hours to get to Weert (which by auto is 23km from Eindhoven), and I'm feeling ready to cover some actual distance.  I follow the A2 highway out of Weert for 10km when the bike lane suddenly disappears into nowhere and I'm left with heavy industry and cars zooming by at high speeds, a big change after the peaceful forest. I decide to turn and find a parallel route (having definitely given up on my annoying hold-your-hand directions-sheet), when a saddle sore bursts, literally making me cry in pain. I head straight back to Weert with the intention of finding a train for the rest of the way. However, I find the original route before I find the train station and decide that butt pain or no butt pain, I've set out to RIDE across the Netherlands, not to take the train halfway when it starts to hurt. After a few bandages and a fresh coat of chamois cream my outlook is decidedly better and I set out again, resolute. I lose my way in Dutch Suburban Hell. New, square, architectural nightmares on the banks of too-still manmade lakes where the sun shines a little too brightly and the children stare a little too vacantly. On the shores of these lakes are deserted circus tents and snack bars, portable Fun Huts that seem ages older than the neighborhood (which I later finds out houses a nuclear power plant). I feel as though I'm inside the first chapter of a Steven King novel and am looking around like a caged animal when I spot a group of friendly Dutchmen out on a club ride. They point me in the proper direction (naturally, the opposite direction from the way I'd been riding) and I set off. Finally, I come across the last bike route to Maastricht on my map, a gravelly fire road along the river Maas. As I'm thinking, 'I hope my tires can take this, I hope my tires can take this,' both tires flat. I patch the holes and ask two farmer boys out walking their dogs for directions. By now I'm a little fed up with the curlicues and zigzags that the charming paths have been leading me for the last two days. The boys tell me I'm quite close to Maastricht, switching effortlessly back and forth between Dutch and German.  I follow their (much more direct) route, and decide that cycle touring in the Netherlands is great if you've got a hundred years to get from point A to point B. I, however, am ready to get to Maastricht. The friend I was visiting (fellow collegiate racer and Santa Cruz bike shop employee) has promised me piping-hot vegan lasagna upon my arrival, and after four months of meat and potatoes, I'm looking forward to tofu and nutrition chat. I am very much a California girl at heart. My way is literally uphill from here on, and I stop to take a few pictures because I'm so thrilled to have found a little elevation. I sprint up them in my big ring just to make my muscles sing. Maastricht by 7, and had a nice dinner, bed early because we're getting up to make it to the start of the race tomorrow.
"
3,"My quads are sore for the first time since cyclo-cross season! This means the mini bike tour was an absolute success, even if the race was a little disappointing (especially the end, which was a near repeat of last week's finish Rebellin sucking Boogerd's wheel and pulling around him in the last 100m to take the win). Will go to roadie shop tomorrow for better saddle and ugly Euro-trash shorts.
"
4,
5,
6,
7,
8,
9,
